pkg_name	role	band
@cadolabs/auth-http-provider	control	1K-10K
@camunda/element-templates-json-schema	control	10K-100K
@capacitor-firebase/crashlytics	control	1K-10K
@carbon/charts-svelte	control	1K-10K
@celo/wallet-base	control	10K-100K
@central-design-system/components	control	1K-10K
@chakra-ui/counter	control	1M+
@chakra-ui/descendant	control	1M+
@chakra-ui/form-control	control	1M+
@chakra-ui/input	control	1M+
@chakra-ui/menu	control	1M+
@chakra-ui/pin-input	control	1M+
@chakra-ui/slider	control	1M+
@chakra-ui/spinner	control	1M+
@chakra-ui/storybook-addon	control	100K-1M
@chakra-ui/switch	control	1M+
@chakra-ui/tag	control	1M+
@chakra-ui/textarea	control	1M+
@changesets/get-release-plan	control	100K-1M
@checkdigit/typescript-config	control	1K-10K
@ckeditor/ckeditor5-adapter-ckfinder	control	100K-1M
@ckeditor/ckeditor5-block-quote	control	100K-1M
@ckeditor/ckeditor5-remove-format	control	100K-1M
@cloudscape-design/design-tokens	control	1K-10K
@clutch-sh/wizard	control	10K-100K
@cockroachlabs/cluster-ui	control	10K-100K
@codeceptjs/configure	control	100K-1M
@codemirror/state	control	1M+
@codemirror/view	control	1M+
@commercetools-uikit/select-field	control	10K-100K
@commercetools/sdk-auth	control	100K-1M
@commitlint/execute-rule	control	1M+
@commitlint/format	control	1M+
@commitlint/is-ignored	control	1M+
@commitlint/resolve-extends	control	1M+
@compodoc/compodoc	control	1M+
@comunica/actor-query-operation-reduced-hash	control	10K-100K
@comunica/actor-query-operation-update-deleteinsert	control	10K-100K
@comunica/actor-query-result-serialize-simple	control	1K-10K
@comunica/actor-rdf-resolve-quad-pattern-rdfjs-source	control	10K-100K
@comunica/data-factory	control	10K-100K
@contentful/f36-drag-handle	control	100K-1M
@contentful/f36-tokens	control	100K-1M
@contentful/forma-36-tokens	control	10K-100K
@contentlayer/utils	control	10K-100K
@cosmjs/math	control	100K-1M
@cosmjs/socket	control	100K-1M
@cspell/dict-ruby	control	100K-1M
@cspotcode/source-map-support	control	1M+
@csstools/postcss-color-function	control	1M+
@csstools/postcss-font-format-keywords	control	1M+
@csstools/postcss-ic-unit	control	1M+
@csstools/postcss-trigonometric-functions	control	1M+
@cubejs-client/core	control	100K-1M
@cucumber/message-streams	control	1M+
@cypress/code-coverage	control	1M+
@damilaredev/eslint-config-basic	control	1K-10K
@dao-xyz/ipfs-log	control	1K-10K
@datadog/build-plugin	control	10K-100K
@datadog/mobile-react-navigation	control	100K-1M
@date-io/core	control	1M+
@date-io/luxon	control	1M+
@dcl/build-ecs	control	10K-100K
@dcloudio/uni-stat	control	10K-100K
@deck.gl/core	control	100K-1M
@deck.gl/mesh-layers	control	100K-1M
@defichain/jellyfish-api-jsonrpc	control	10K-100K
@derockdev/discord-components-react	control	1K-10K
@dialectlabs/sdk	control	1K-10K
@discordjs/builders	control	1M+
@dnd-kit/modifiers	control	100K-1M
@doreamonjs/plugin-application	control	1K-10K
@ecl/vanilla-utility-background	control	1K-10K
@electron-forge/core	control	100K-1M
@electron-forge/installer-darwin	control	100K-1M
@elliemae/ds-form-input-text	control	10K-100K
@elliemae/ds-notification-badge	control	10K-100K
@elvia/elvis-divider	control	1K-10K
@ember-data/record-data	control	100K-1M
@emotion/server	control	1M+
@emotion/use-insertion-effect-with-fallbacks	control	1M+
@envelop/apollo-server-errors	control	10K-100K
@esbuild-kit/core-utils	control	100K-1M
@esfx/cancelable	control	10K-100K
@eslint/eslintrc	control	1M+
@esutils/deferred	control	1K-10K
@ethersproject/hdnode	control	1M+
@ethersproject/json-wallets	control	1M+
@eui/tools	control	10K-100K
@expo/html-elements	control	10K-100K
@expo/xcpretty	control	1M+
@extra-array/difference.min	control	1K-10K
@fable/eslint-plugin-implicit-dependencies	control	1K-10K
@faker-js/faker	control	1M+
@fastify/websocket	control	100K-1M
@fattureincloud/fic-design-system	control	1K-10K
@fern-api/ir-generator	control	10K-100K
@figspec/react	control	1M+
@filerobot/icons	control	10K-100K
@financial-times/n-mask-logger	control	1K-10K
@findonflow/aera-client	control	1K-10K
@firebase/app-check-types	control	1M+
@firebase/database	control	1M+
@firebase/database-compat	control	1M+
@firebase/logger	control	1M+
@firebase/messaging-interop-types	control	1M+
@firebase/remote-config-compat	control	1M+
@firebase/util	control	1M+
@fisker/eslint-config	control	10K-100K
@flatfile/react	control	10K-100K
@floating-ui/dom	control	1M+
@fluentui/react-focus	control	100K-1M
@fluentui/react-theme	control	10K-100K
@fluentui/styles	control	10K-100K
@fluidframework/azure-client	control	1K-10K
@fluidframework/container-definitions	control	10K-100K
@focus4/core	control	1K-10K
@fontsource/kanit	control	1K-10K
@fontsource/playfair-display	control	10K-100K
@forge/resolver	control	10K-100K
@form8ion/core	control	10K-100K
@form8ion/remark-lint-preset	control	10K-100K
@formatjs/fast-memoize	control	1M+
@formatjs/icu-messageformat-parser	control	1M+
@formatjs/intl-listformat	control	1M+
@formatjs/intl-relativetimeformat	control	1M+
@fortawesome/free-solid-svg-icons	control	1M+
@foxglove/regl-worldview	control	1K-10K
@franzzemen/re-logical-condition	control	1K-10K
@fullcalendar/core	control	1M+
@fullcalendar/interaction	control	1M+
@fullcalendar/resource-daygrid	control	100K-1M
@fullpage/react-fullpage	control	10K-100K
@funboxteam/eslint-config	control	1K-10K
@ganache/ethereum-address	control	10K-100K
@gemeente-denhaag/authentication-block	control	1K-10K
@geoman-io/leaflet-geoman-free	control	10K-100K
@gitbeaker/core	control	100K-1M
@gitpod/supervisor-api-grpcweb	control	10K-100K
@glimmer/node	control	10K-100K
@golevelup/nestjs-common	control	100K-1M
@google-cloud/bigquery	control	1M+
@google-cloud/common	control	1M+
@google-cloud/opentelemetry-cloud-trace-exporter	control	100K-1M
@google-cloud/projectify	control	1M+
@google-cloud/promisify	control	1M+
@google-cloud/trace-agent	control	100K-1M
@googlemaps/markerclusterer	control	1M+
@grafana/ui	control	100K-1M
@grapecity/wijmo.angular2.chart.hierarchical	control	10K-100K
@grapecity/wijmo.angular2.grid.filter	control	10K-100K
@grapecity/wijmo.vue2.chart.finance.analytics	control	10K-100K
@grapecity/wijmo.vue2.chart.hierarchical	control	10K-100K
@grapecity/wijmo.webcomponents.chart.animation	control	10K-100K
@graphprotocol/contracts	control	1K-10K
@graphql-codegen/add	control	1M+
@graphql-codegen/java	control	10K-100K
@graphql-codegen/typescript	control	1M+
@graphql-codegen/typescript-document-nodes	control	100K-1M
@graphql-codegen/typescript-resolvers	control	1M+
@graphql-eslint/eslint-plugin	control	1M+
@graphql-inspector/loaders	control	100K-1M
@graphql-tools/apollo-engine-loader	control	1M+
@graphql-tools/git-loader	control	1M+
@graphql-yoga/plugin-prometheus	control	10K-100K
@graphql-yoga/render-graphiql	control	100K-1M
@gregvanko/nanox	control	1K-10K
@gympass/yoga-tokens	control	1K-10K
@hapi/accept	control	1M+
@hapi/boom	control	1M+
@hapi/call	control	1M+
@hapi/catbox-memory	control	1M+
@hapi/mimos	control	1M+
@hapi/teamwork	control	1M+
@headlessui/react	control	1M+
@hero-design/colors	control	10K-100K
@heroku-cli/plugin-ci-v5	control	10K-100K
@hint/hint-no-html-only-headers	control	100K-1M
@hint/hint-typescript-config	control	100K-1M
@hint/hint-validate-set-cookie-header	control	100K-1M
@hint/hint-webpack-config	control	100K-1M
@hint/utils-css	control	100K-1M
@homebridge/put	control	10K-100K
@hoprnet/hoprd	control	10K-100K
@hsds/overlay	control	1K-10K
@hubble.gl/core	control	1K-10K
@humanwhocodes/config-array	control	1M+
@humanwhocodes/gitignore-to-minimatch	control	1M+
@hyperledger/vcxagent-core	control	10K-100K
@ibm-cloud/openapi-ruleset	control	100K-1M
@iconify/react	control	100K-1M
@ikas/api-client	control	10K-100K
@indic-transliteration/sanscript	control	1K-10K
@innei/prettier	control	1K-10K
@instructure/console	control	10K-100K
@instructure/ui-calendar	control	10K-100K
@ionic/utils-subprocess	control	100K-1M
@ioredis/as-callback	control	100K-1M
@itsjamie/esdoc-brand-plugin	control	1K-10K
@itwin/build-tools	control	10K-100K
@jackfranklin/test-data-bot	control	100K-1M
@javascript-obfuscator/escodegen	control	100K-1M
@jest/expect-utils	control	1M+
@jest/fake-timers	control	1M+
@jest/source-map	control	1M+
@jest/types	control	1M+
@jimp/jpeg	control	1M+
@jimp/plugin-resize	control	1M+
@jimp/plugin-rotate	control	1M+
@jimp/plugin-threshold	control	1M+
@jimp/plugins	control	1M+
@johanblumenberg/ts-mockito	control	10K-100K
@jonkemp/package-utils	control	100K-1M
@journeyapps/evaluator	control	10K-100K
@jridgewell/resolve-uri	control	1M+
@jup-ag/core	control	10K-100K
@jupyterlab/codeeditor	control	100K-1M
@jupyterlab/coreutils	control	100K-1M
@jupyterlab/running	control	100K-1M
@jupyterlab/vdom	control	100K-1M
@jupyterlab/vega5-extension	control	100K-1M
@kaizen/draft-select	control	10K-100K
@knapsack/bitbucket-api	control	10K-100K
@kolkov/angular-editor	control	100K-1M
@leafygreen-ui/box	control	10K-100K
@ledgerhq/hw-app-eth	control	100K-1M
@ledgerhq/hw-transport-node-hid	control	100K-1M
@leecheuk/react-google-login	control	1K-10K
@lerna/collect-uncommitted	control	1M+
@lerna/diff	control	1M+
@lerna/filter-packages	control	1M+
@lerna/npm-publish	control	1M+
@lerna/profiler	control	1M+
@lerna/resolve-symlink	control	1M+
@lerna/temp-write	control	1M+
@lexical/yjs	control	100K-1M
@lezer/common	control	1M+
@libj/http	control	10K-100K
@libriciel/ls-composants	control	1K-10K
@liff/permanent-link	control	10K-100K
@liftric/cognito-idp	control	1K-10K
@linkedmd/parser	control	1K-10K
@lit-labs/motion	control	10K-100K
@lit-labs/react	control	1M+
@logcomex/shared-components	control	1K-10K
@logzio-node-toolbox/logger	control	10K-100K
@loki/target-chrome-app	control	100K-1M
@loomhq/loom-embed	control	100K-1M
@loopback/build	control	10K-100K
@lskjs/sequelize	control	1K-10K
@ltht-react/diagnosis-summary	control	1K-10K
@luma.gl/experimental	control	100K-1M
@luma.gl/gltools	control	100K-1M
@lumino/dragdrop	control	100K-1M
@luxuryescapes/lib-uri-templates	control	1K-10K
@macpaw/browser-deeplink	control	1K-10K
@mailchimp/mailchimp_marketing	control	100K-1M
@makemydeal/cdk-types	control	1K-10K
@mapbox/maki	control	10K-100K
@mapbox/node-pre-gyp	control	1M+
@material/base	control	100K-1M
@material/card	control	100K-1M
@material/menu	control	100K-1M
@materya/carbon	control	1K-10K
@matheo/datepicker	control	10K-100K
@maticnetwork/fx-portal	control	1K-10K
@mdi/js	control	100K-1M
@mdn/browser-compat-data	control	1M+
@metaplex-foundation/mpl-candy-machine	control	100K-1M
@micromag/transforms	control	1K-10K
@microsoft.azure/openapi-validator	control	10K-100K
@microsoft/ads-service-downloader	control	1K-10K
@microsoft/applicationinsights-analytics-js	control	1M+
@microsoft/applicationinsights-dependencies-js	control	1M+
@microsoft/applicationinsights-shims	control	1M+
@microsoft/applicationinsights-web	control	1M+
@microsoft/load-themed-styles	control	100K-1M
@microsoft/sp-loader	control	10K-100K
@microsoft/teamsfx	control	10K-100K
@microsoft/tsdoc	control	1M+
@middy/http-urlencode-body-parser	control	10K-100K
@midwayjs/express-session	control	1K-10K
@mikro-orm/mysql	control	100K-1M
@mikro-orm/postgresql	control	100K-1M
@miniflare/d1	control	100K-1M
@miniflare/storage-file	control	100K-1M
@modern-js/babel-preset-base	control	10K-100K
@modular-css/processor	control	10K-100K
@monaco-editor/loader	control	100K-1M
@mongosh/errors	control	10K-100K
@mongosh/shell-api	control	10K-100K
@mongosh/types	control	10K-100K
@moralisweb3/sol-utils	control	10K-100K
@motionone/animation	control	1M+
@mr-hope/vuepress-plugin-git	control	1K-10K
@msgpackr-extract/msgpackr-extract-darwin-arm64	control	1M+
@msgpackr-extract/msgpackr-extract-linux-x64	control	1M+
@mui/types	control	1M+
@mui/x-data-grid	control	1M+
@mux/playback-core	control	10K-100K
@nacelle/react-hooks	control	1K-10K
@napi-rs/pinyin-linux-arm64-musl	control	100K-1M
@napi-rs/simple-git-win32-x64-msvc	control	10K-100K
@napi-rs/snappy-linux-x64-musl	control	100K-1M
@neovision/react-query	control	1K-10K
@nestjs/jwt	control	1M+
@nestjs/mapped-types	control	1M+
@nestjs/terminus	control	1M+
@netlify/esbuild-windows-32	control	100K-1M
@netlify/plugin-gatsby	control	10K-100K
@netlify/plugins-list	control	100K-1M
@neuralegion/cypress-har-generator	control	10K-100K
@newrelic/koa	control	1M+
@newrelic/winston-enricher	control	100K-1M
@next-bricks/developers	control	1K-10K
@next/env	control	1M+
@next/plugin-storybook	control	10K-100K
@next/swc-android-arm-eabi	control	1M+
@next/swc-android-arm64	control	1M+
@next/swc-win32-x64-msvc	control	1M+
@ngneat/falso	control	100K-1M
@ngneat/until-destroy	control	100K-1M
@ngrx/entity	control	1M+
@ngxs/devtools-plugin	control	100K-1M
@nicolo-ribaudo/eslint-scope-5-internals	control	1M+
@nightlylabs/connect-near	control	1K-10K
@nitro/gulp	control	1K-10K
@nivo/swarmplot	control	10K-100K
@nlpjs/lang-ne	control	10K-100K
@nlpjs/lang-nl	control	10K-100K
@nlpjs/lang-th	control	10K-100K
@nlpjs/nlg	control	10K-100K
@nocobase/cache	control	1K-10K
@node-rs/xxhash-win32-x64-msvc	control	10K-100K
@nomicfoundation/ethereumjs-trie	control	100K-1M
@npmcli/config	control	1M+
@npmcli/disparity-colors	control	1M+
@npmcli/promise-spawn	control	1M+
@nrwl/nx-cloud	control	1M+
@nrwl/nx-plugin	control	100K-1M
@ns3/nx-core	control	10K-100K
@nuxtjs/eslint-config	control	1M+
@oclif/command	control	1M+
@oclif/parser	control	1M+
@oclif/plugin-plugins	control	1M+
@octokit/auth-oauth-device	control	1M+
@octokit/core	control	1M+
@octokit/openapi-types	control	1M+
@octokit/plugin-rest-endpoint-methods	control	1M+
@omnigraph/json-schema	control	10K-100K
@open-wa/wa-automate	control	10K-100K
@open-wc/building-rollup	control	10K-100K
@opentelemetry/api	control	1M+
@opentelemetry/id-generator-aws-xray	control	100K-1M
@opentelemetry/instrumentation-mysql2	control	100K-1M
@opentelemetry/instrumentation-redis	control	100K-1M
@opentelemetry/instrumentation-winston	control	100K-1M
@opentelemetry/instrumentation-xml-http-request	control	100K-1M
@opentelemetry/propagator-b3	control	1M+
@opentelemetry/sdk-trace-node	control	1M+
@openzeppelin/upgrades-core	control	100K-1M
@operato/scene-chartjs	control	1K-10K
@parcel/config-default	control	100K-1M
@parcel/core	control	1M+
@parcel/css-darwin-arm64	control	100K-1M
@parcel/css-darwin-x64	control	100K-1M
@parcel/fs-search	control	1M+
@parcel/node-libs-browser	control	10K-100K
@parcel/packager-raw	control	1M+
@parcel/transformer-raw	control	100K-1M
@parcel/utils	control	1M+
@parcel/workers	control	1M+
@paybutton/paybutton	control	1K-10K
@pendle/sdk	control	1K-10K
@pepperize/cdk-terraform-state-backend	control	1K-10K
@percy/cli-exec	control	1M+
@perf-profiler/logger	control	1K-10K
@pixi/particle-container	control	100K-1M
@pixi/unsafe-eval	control	100K-1M
@plandek-utils/ts-string-utils	control	1K-10K
@player-tools/xlr	control	1K-10K
@playwright/test	control	1M+
@pmmmwh/react-refresh-webpack-plugin	control	1M+
@pnpm/git-fetcher	control	1K-10K
@pnpm/lockfile-types	control	100K-1M
@pnpm/ramda	control	10K-100K
@pnpm/read-modules-dir	control	100K-1M
@pnpm/resolve-workspace-range	control	10K-100K
@po-ui/ng-schematics	control	10K-100K
@polkadot/networks	control	100K-1M
@popeindustries/lit-html-server	control	1K-10K
@portabletext/to-html	control	10K-100K
@postlight/parser	control	100K-1M
@prefresh/utils	control	100K-1M
@prisma/get-platform	control	1M+
@prisma/internals	control	100K-1M
@prismicio/richtext	control	100K-1M
@probot/adapter-aws-lambda-serverless	control	10K-100K
@progress/kendo-angular-notification	control	10K-100K
@progress/kendo-draggable-common	control	100K-1M
@projectstorm/react-diagrams	control	10K-100K
@putout/plugin-convert-imul-to-multiplication	control	10K-100K
@putout/plugin-declare-before-reference	control	10K-100K
@putout/plugin-gitignore	control	10K-100K
@radix-ui/react-compose-refs	control	1M+
@radix-ui/react-focus-guards	control	1M+
@radix-ui/react-slot	control	1M+
@radix-ui/react-use-controllable-state	control	1M+
@rdfjs/formats-common	control	10K-100K
@reach/portal	control	1M+
@react-aria/utils	control	1M+
@react-native-async-storage/async-storage	control	1M+
@react-native-community/cli-clean	control	1M+
@react-native-community/cli-config	control	1M+
@react-native-community/cli-debugger-ui	control	1M+
@react-native-community/cli-tools	control	1M+
@react-native-community/cli-types	control	1M+
@react-native-firebase/auth	control	100K-1M
@react-native-masked-view/masked-view	control	100K-1M
@react-native-menu/menu	control	10K-100K
@react-native-picker/picker	control	1M+
@react-navigation/core	control	1M+
@react-pdf/yoga	control	100K-1M
@react-stately/data	control	100K-1M
@react-stately/layout	control	100K-1M
@react-stately/slider	control	100K-1M
@react-types/menu	control	100K-1M
@react-types/tooltip	control	100K-1M
@redis/time-series	control	1M+
@relaycorp/object-storage	control	1K-10K
@remax/macro	control	1K-10K
@remirror/extension-positioner	control	10K-100K
@remirror/react-utils	control	10K-100K
@remix-run/cloudflare-workers	control	10K-100K
@replayio/jest	control	1K-10K
@rico-technologies/fp-ts-routing-fork	control	1K-10K
@rimbu/core	control	1K-10K
@rollup/plugin-alias	control	1M+
@rollup/plugin-commonjs	control	1M+
@rollup/plugin-wasm	control	100K-1M
@root/request	control	100K-1M
@roots/bud-react	control	10K-100K
@roots/bud-wordpress-manifests	control	10K-100K
@rushstack/eslint-patch	control	1M+
@rushstack/package-deps-hash	control	1M+
@s-ui/mockmock	control	1K-10K
@salesforce/command	control	1M+
@salesforce/ts-sinon	control	100K-1M
@salto-io/netsuite-adapter	control	10K-100K
@salto-io/zuora-billing-adapter	control	10K-100K
@sanity/export	control	100K-1M
@sap/generator-adaptation-project	control	100K-1M
@sap/sbf	control	10K-100K
@sapphire/snowflake	control	100K-1M
@satorijs/adapter-telegram	control	1K-10K
@semcore/skeleton	control	10K-100K
@semcore/textarea	control	10K-100K
@sendgrid/helpers	control	1M+
@sentry/core	control	1M+
@sentry/integrations	control	1M+
@sentry/tracing	control	1M+
@sentry/types	control	1M+
@serverless-stack/cli	control	100K-1M
@serverless/platform-client	control	1M+
@shopgate/pwa-webcheckout-shopify	control	1K-10K
@shopify/address-consts	control	100K-1M
@shopify/app-bridge-react	control	100K-1M
@shopify/find-duplicate-dependencies-plugin	control	100K-1M
@shopify/jest-dom-mocks	control	100K-1M
@shopify/manifests	control	100K-1M
@shopify/react-async	control	100K-1M
@shopware-ag/meteor-component-library	control	10K-100K
@showtime-xyz/universal.verification-badge	control	1K-10K
@sigmacomputing/plugin	control	10K-100K
@sixa/wp-block-utils	control	1K-10K
@sky-uk/eslint-config-sky-react	control	10K-100K
@skybloxsystems/ticket-bot	control	10K-100K
@skyux/inline-form	control	10K-100K
@slack/types	control	1M+
@slicemachine/core	control	10K-100K
@slickgrid-universal/binding	control	1K-10K
@slonik/migrator	control	10K-100K
@smui/image-list	control	10K-100K
@snyk/graphlib	control	100K-1M
@socket.io/redis-emitter	control	100K-1M
@sogebot/ui-helpers	control	1K-10K
@solana/wallet-adapter-safepal	control	100K-1M
@sourcegraph/eslint-config	control	10K-100K
@spryker/collapsible	control	10K-100K
@spryker/table.filter.select	control	10K-100K
@stdlib/array-uint16	control	100K-1M
@stdlib/assert-has-node-buffer-support	control	100K-1M
@stdlib/assert-is-array	control	100K-1M
@stdlib/assert-is-object	control	100K-1M
@stdlib/blas-ext-base-gapxsumpw	control	1K-10K
@stdlib/constants-float64-max-base2-exponent-subnormal	control	100K-1M
@stdlib/math-base-special-binomcoef	control	10K-100K
@stdlib/types	control	1M+
@stdlib/utils-convert-path	control	100K-1M
@stoplight/ui-kit	control	10K-100K
@storefront-ui/shared	control	10K-100K
@storybook/addon-actions	control	1M+
@storybook/addon-backgrounds	control	1M+
@storybook/addon-essentials	control	1M+
@storybook/addon-ondevice-actions	control	100K-1M
@storybook/addon-storyshots	control	1M+
@storybook/addon-storysource	control	1M+
@storybook/channel-postmessage	control	1M+
@storybook/client-logger	control	1M+
@storybook/components	control	1M+
@storybook/core-server	control	1M+
@storybook/csf-tools	control	1M+
@storybook/instrumenter	control	1M+
@storybook/preview-web	control	1M+
@storybook/theming	control	1M+
@strapi/babel-plugin-switch-ee-ce	control	100K-1M
@strapi/provider-email-sendmail	control	100K-1M
@streamroot/dashjs-dna-wrapper	control	1K-10K
@subql/common-avalanche	control	1K-10K
@superdata/basic-components	control	1K-10K
@sveltestack/svelte-query	control	10K-100K
@svgr/babel-plugin-remove-jsx-empty-expression	control	1M+
@svgr/babel-plugin-svg-dynamic-title	control	1M+
@svgr/babel-plugin-svg-em-dimensions	control	1M+
@svgr/hast-util-to-babel-ast	control	1M+
@swc-node/sourcemap-support	control	1M+
@swc/core	control	1M+
@swc/core-android-arm64	control	1M+
@swc/core-linux-arm-gnueabihf	control	1M+
@swc/core-linux-x64-gnu	control	1M+
@swc/core-win32-ia32-msvc	control	1M+
@swc/jest	control	1M+
@swc/wasm	control	1M+
@sweetalert2/theme-bootstrap-4	control	100K-1M
@syncfusion/ej2-kanban	control	10K-100K
@syncfusion/ej2-maps	control	10K-100K
@tailwindcss/typography	control	1M+
@tanstack/react-table	control	100K-1M
@taroify/core	control	1K-10K
@tds/core-paragraph	control	10K-100K
@teambit/harmony.modules.resolved-component	control	1K-10K
@teambit/react-router	control	10K-100K
@terraformer/wkt	control	10K-100K
@testing-library/jest-dom	control	1M+
@testing-library/react-native	control	1M+
@testing-library/user-event	control	1M+
@theia/console	control	10K-100K
@theia/core	control	10K-100K
@theia/git	control	10K-100K
@theia/search-in-workspace	control	10K-100K
@thi.ng/zipper	control	100K-1M
@tiptap/core	control	1M+
@tiptap/extension-blockquote	control	1M+
@tiptap/extension-bullet-list	control	1M+
@tiptap/extension-code	control	1M+
@tiptap/extension-code-block	control	1M+
@tiptap/extension-mention	control	100K-1M
@tiptap/extension-strike	control	1M+
@tiptap/extension-youtube	control	10K-100K
@tiptap/react	control	100K-1M
@toast-ui/editor	control	100K-1M
@toruslabs/solana-embed	control	100K-1M
@totigm/bot-builder	control	100K-1M
